A,State,Date,Value
146,AK,4/1/1996 0:00,19454
147,AK,4/1/1997 0:00,17841
148,AK,4/1/1998 0:00,21079
149,AK,4/1/1999 0:00,18844
150,AK,4/1/2000 0:00,19688
151,AK,4/1/2001 0:00,20861
152,AK,4/1/2002 0:00,18584
153,AK,4/1/2003 0:00,19942
154,AK,4/1/2004 0:00,24150
155,AK,4/1/2005 0:00,18868
156,AK,4/1/2006 0:00,18312
157,AK,4/1/2007 0:00,14718
158,AK,4/1/2008 0:00,16187
159,AK,4/1/2009 0:00,17207
160,AK,4/1/2010 0:00,18744
161,AK,4/1/2011 0:00,18192
162,AK,4/1/2012 0:00,17688
163,AK,4/1/2013 0:00,14929
164,AK,4/1/2014 0:00,17681
165,AK,4/1/2015 0:00,22139
166,AK,4/1/2016 0:00,20935
167,AK,4/1/2017 0:00,23030
168,AK,4/1/2018 0:00,17712
169,AK,4/1/2019 0:00,23098
170,AK,5/1/1996 0:00,48239
171,AK,5/1/1997 0:00,50751
172,AK,5/1/1998 0:00,57966
173,AK,5/1/1999 0:00,61464
174,AK,5/1/2000 0:00,23356
175,AK,5/1/2001 0:00,60292
176,AK,5/1/2002 0:00,53289
177,AK,5/1/2003 0:00,53580
178,AK,5/1/2004 0:00,57486
179,AK,5/1/2005 0:00,68497
180,AK,5/1/2006 0:00,67516
181,AK,5/1/2007 0:00,76873
182,AK,5/1/2008 0:00,69099
183,AK,5/1/2009 0:00,71529
184,AK,5/1/2010 0:00,70059
185,AK,5/1/2011 0:00,66971
186,AK,5/1/2012 0:00,70612
187,AK,5/1/2013 0:00,76757
188,AK,5/1/2014 0:00,98163
189,AK,5/1/2015 0:00,81292
190,AK,5/1/2016 0:00,88536
191,AK,5/1/2017 0:00,87052
192,AK,5/1/2018 0:00,98022
193,AK,5/1/2019 0:00,101252
194,AK,6/1/1996 0:00,108396
195,AK,6/1/1997 0:00,111057
196,AK,6/1/1998 0:00,128313
197,AK,6/1/1999 0:00,131683
198,AK,6/1/2000 0:00,131196
199,AK,6/1/2001 0:00,119920
200,AK,6/1/2002 0:00,114959
201,AK,6/1/2003 0:00,119115
202,AK,6/1/2004 0:00,116680
203,AK,6/1/2005 0:00,123974
204,AK,6/1/2006 0:00,119253
205,AK,6/1/2007 0:00,127309
206,AK,6/1/2008 0:00,121076
207,AK,6/1/2009 0:00,117939
208,AK,6/1/2010 0:00,120588
209,AK,6/1/2011 0:00,117207
210,AK,6/1/2012 0:00,123898
211,AK,6/1/2013 0:00,133482
212,AK,6/1/2014 0:00,124622
213,AK,6/1/2015 0:00,127546
214,AK,6/1/2016 0:00,150092
215,AK,6/1/2017 0:00,148224
216,AK,6/1/2018 0:00,158013
217,AK,6/1/2019 0:00,165745
218,AK,7/1/1996 0:00,135405
219,AK,7/1/1997 0:00,141748
220,AK,7/1/1998 0:00,178732
221,AK,7/1/1999 0:00,140835
222,AK,7/1/2000 0:00,156478
223,AK,7/1/2001 0:00,130205
224,AK,7/1/2002 0:00,143364
225,AK,7/1/2003 0:00,135013
226,AK,7/1/2004 0:00,140206
227,AK,7/1/2005 0:00,142879
228,AK,7/1/2006 0:00,130628
229,AK,7/1/2007 0:00,139802
230,AK,7/1/2008 0:00,129951
231,AK,7/1/2009 0:00,132055
232,AK,7/1/2010 0:00,127276
